norm,metric,gene_set,n_genes,mean_sim_D,mean_sim_V,n_known,n_concordant,pct_all,n_up,n_up_conc,pct_up,n_dn,n_dn_conc,pct_dn,binom_p
Raw,Pearson,Intersect 3000,563,0.9980865032566683,0.9974435691095976,83,43,51.80722891566265,46,19,41.30434782608695,37,24,64.86486486486487,0.41320236222459616
Raw,Pearson,Union 5000,8803,0.9976543392708241,0.9981175535206014,83,49,59.036144578313255,46,36,78.26086956521739,37,13,35.13513513513514,0.06192652973090074
Raw,Pearson,Intersect 5000,1197,0.9976500804336836,0.9969719988051781,83,46,55.42168674698795,46,20,43.47826086956522,37,26,70.27027027027027,0.18999969820595902
Raw,Pearson,All Genes,35204,0.9964703570812843,0.9971734532945532,83,44,53.01204819277108,46,32,69.56521739130434,37,12,32.432432432432435,0.3304418238806077
Raw,Spearman,DMSO 500,500,0.619757293711008,0.802509117263285,83,46,55.42168674698795,46,46,100.0,37,0,0.0,0.18999969820595902
Raw,Spearman,Vorino 500,500,0.677282506880929,0.49841366962001765,83,37,44.57831325301205,46,0,0.0,37,37,100.0,0.863865527013976
Raw,Spearman,Union 500,941,0.5980353873880258,0.6301620058462716,83,50,60.24096385542169,46,40,86.95652173913044,37,10,27.027027027027028,0.03920981240790382
Raw,Spearman,Intersect 500,59,0.9749432651858555,0.9779574154607843,83,43,51.80722891566265,46,29,63.04347826086956,37,14,37.83783783783784,0.41320236222459616
Raw,Spearman,DMSO 1000,1000,0.614428638752797,0.7926130326575488,83,46,55.42168674698795,46,46,100.0,37,0,0.0,0.18999969820595902
Raw,Spearman,Vorino 1000,1000,0.7147381819720572,0.5618932781749428,83,37,44.57831325301205,46,0,0.0,37,37,100.0,0.863865527013976
Raw,Spearman,Union 1000,1861,0.6340799389596018,0.6649238968980395,83,48,57.83132530120482,46,43,93.47826086956522,37,5,13.513513513513514,0.09372993398309643
Raw,Spearman,Intersect 1000,139,0.9171725648244494,0.9255979554557566,83,47,56.626506024096386,46,33,71.73913043478261,37,14,37.83783783783784,0.136134472986024
Raw,Spearman,DMSO 2000,2000,0.750614068520597,0.8422744757622634,83,46,55.42168674698795,46,46,100.0,37,0,0.0,0.18999969820595902
Raw,Spearman,Vorino 2000,2000,0.7951008872098706,0.7010399217917337,83,37,44.57831325301205,46,0,0.0,37,37,100.0,0.863865527013976
Raw,Spearman,Union 2000,3669,0.7718811628785711,0.7781947583159519,83,58,69.87951807228916,46,38,82.6086956521739,37,20,54.054054054054056,0.00018917138158038935
Raw,Spearman,Intersect 2000,331,0.7925004788911763,0.8056174406798,83,43,51.80722891566265,46,33,71.73913043478261,37,10,27.027027027027028,0.41320236222459616
Raw,Spearman,Union 3000,5437,0.857051142689078,0.8561860716226356,83,59,71.08433734939759,46,32,69.56521739130434,37,27,72.97297297297297,7.727970539164584e-05
Raw,Spearman,Intersect 3000,563,0.8246765788065025,0.837181655442403,83,46,55.42168674698795,46,35,76.08695652173913,37,11,29.72972972972973,0.18999969820595902
Raw,Spearman,Union 5000,8803,0.9281818236611887,0.9252781620285648,83,55,66.26506024096386,46,25,54.34782608695652,37,30,81.08108108108108,0.0020196044433347065
Raw,Spearman,Intersect 5000,1197,0.9021850415372016,0.9108865755527147,83,54,65.06024096385542,46,43,93.47826086956522,37,11,29.72972972972973,0.004018353188928501
Raw,Spearman,All Genes,35204,0.9324859259735482,0.9252881287078459,83,37,44.57831325301205,46,1,2.1739130434782608,37,36,97.29729729729729,0.863865527013976
Raw,Cosine,DMSO 500,500,0.9984671899522322,0.9986021266127527,83,52,62.65060240963855,46,30,65.21739130434783,37,22,59.45945945945946,0.013767089006147266
Raw,Cosine,Vorino 500,500,0.9979846740107534,0.9979801907746876,83,46,55.42168674698795,46,29,63.04347826086956,37,17,45.945945945945944,0.18999969820595902
Raw,Cosine,Union 500,941,0.9984445312181754,0.9985375545903116,83,51,61.44578313253012,46,29,63.04347826086956,37,22,59.45945945945946,0.023762444628265912
Raw,Cosine,Intersect 500,59,0.9981291779682799,0.9984779784410894,83,45,54.21686746987952,46,32,69.56521739130434,37,13,35.13513513513514,0.2552049708406172
Raw,Cosine,DMSO 1000,1000,0.9982991706907759,0.9984553403309163,83,49,59.036144578313255,46,28,60.869565217391305,37,21,56.75675675675676,0.06192652973090074
Raw,Cosine,Vorino 1000,1000,0.9987432324236682,0.9987109622023694,83,51,61.44578313253012,46,25,54.34782608695652,37,26,70.27027027027027,0.023762444628265912
Raw,Cosine,Union 1000,1861,0.9982696388834656,0.9984191163653413,83,47,56.626506024096386,46,26,56.52173913043478,37,21,56.75675675675676,0.136134472986024
Raw,Cosine,Intersect 1000,139,0.9988145692392641,0.9988236072895734,83,53,63.855421686746986,46,28,60.869565217391305,37,25,67.56756756756756,0.007616100930997331
Raw,Cosine,DMSO 2000,2000,0.9981597149858108,0.9980983204280366,83,47,56.626506024096386,46,25,54.34782608695652,37,22,59.45945945945946,0.136134472986024
Raw,Cosine,Vorino 2000,2000,0.9983277698968314,0.9980495877263627,83,46,55.42168674698795,46,22,47.82608695652174,37,24,64.86486486486487,0.18999969820595902
Raw,Cosine,Union 2000,3669,0.9980095572722164,0.9979850369134862,83,50,60.24096385542169,46,28,60.869565217391305,37,22,59.45945945945946,0.03920981240790382
Raw,Cosine,Intersect 2000,331,0.9987332346731128,0.998435522322153,83,46,55.42168674698795,46,20,43.47826086956522,37,26,70.27027027027027,0.18999969820595902
Raw,Cosine,Union 3000,5437,0.9977825310427393,0.997769282122661,83,54,65.06024096385542,46,33,71.73913043478261,37,21,56.75675675675676,0.004018353188928501
Raw,Cosine,Intersect 3000,563,0.9983084337967902,0.9977345392926296,83,43,51.80722891566265,46,19,41.30434782608695,37,24,64.86486486486487,0.41320236222459616
Raw,Cosine,Union 5000,8803,0.997739374263376,0.9981628736763255,83,49,59.036144578313255,46,36,78.26086956521739,37,13,35.13513513513514,0.06192652973090074
Raw,Cosine,Intersect 5000,1197,0.9978663458113703,0.9972599930882795,83,46,55.42168674698795,46,20,43.47826086956522,37,26,70.27027027027027,0.18999969820595902
Raw,Cosine,All Genes,35204,0.996545213554068,0.9972105595521115,83,45,54.21686746987952,46,32,69.56521739130434,37,13,35.13513513513514,0.2552049708406172
